date,fips,lat,lon,tmax,tmin,prcp,wind_speed,fmc,fire_size
2025-05-07,6073.0,33.023604,-116.776117,23.7,9.2,0.0,14.2,110.0,-5.2267537
2025-05-07,6075.0,37.727239,-123.032229,11.8,8.7,0.0,40.0,90.49573584427112,0.20753591
2025-05-07,6077.0,37.934982,-121.272244,30.8,11.2,0.0,19.6,90.49573584427112,41.378914
2025-05-07,6079.0,35.388189,-120.448897,24.3,6.9,0.0,15.8,90.49573584427112,-3.395894
2025-05-07,6081.0,37.414672,-122.371546,18.5,8.4,0.0,20.4,87.5,-0.5172066
2025-05-07,6083.0,34.536677,-120.038364,22.4,6.7,0.0,14.9,83.75,1.3306042
2025-05-07,6085.0,37.221614,-121.68954,22.8,7.9,0.0,17.8,65.5,-4.6669636
2025-05-07,6087.0,37.012347,-122.007789,15.5,9.7,0.0,11.6,90.49573584427112,1.3282784
2025-05-07,6089.0,40.760514,-122.043556,24.6,13.6,0.0,14.8,90.49573584427112,4.3630557
2025-05-07,6091.0,39.576925,-120.521993,15.8,2.8,0.0,17.2,90.49573584427112,1.2628717
2025-05-07,6093.0,41.587986,-122.533287,26.1,10.5,0.0,28.3,90.49573584427112,-17.301367
2025-05-07,6095.0,38.267226,-121.939594,22.9,10.3,0.0,29.6,90.49573584427112,3.4763246
2025-05-07,6097.0,38.525182,-122.92611,24.7,6.9,0.0,9.2,90.49573584427112,4.443538
2025-05-07,6099.0,37.562316,-121.002831,32.3,11.7,0.0,23.5,90.49573584427112,61.85436
2025-05-07,6101.0,39.03619,-121.70394,28.5,11.7,0.0,21.3,65.5,-14.251785
2025-05-07,6103.0,40.126157,-122.232274,28.1,12.7,0.0,16.5,90.49573584427112,3.218915
2025-05-07,6105.0,40.647858,-123.114666,21.1,5.0,0.0,18.5,90.49573584427112,-2.4017148
2025-05-07,6107.0,36.228834,-118.781055,25.4,11.3,0.0,13.5,90.49573584427112,10.733205
2025-05-07,6109.0,38.021434,-119.964733,17.4,6.2,0.0,17.9,90.49573584427112,2.8443143
2025-05-07,6111.0,34.358748,-119.133145,20.6,11.6,0.0,13.4,90.49573584427112,-0.3906191
2025-05-07,6113.0,38.679609,-121.90275,29.0,11.4,0.0,17.5,90.49573584427112,33.758785
2025-05-07,6115.0,39.27013,-121.344259,25.8,14.6,0.0,21.6,90.49573584427112,28.020655
2025-05-08,6001.0,37.647139,-121.912488,26.6,10.6,0.0,14.9,52.0,18.939943
2025-05-08,6003.0,38.621783,-119.798352,18.2,3.2,0.0,15.6,90.49573584427112,1.5514421
2025-05-08,6005.0,38.443549,-120.653858,25.8,12.2,0.0,11.7,88.0,6.631822
2025-05-08,6007.0,39.665336,-121.603209,29.0,12.8,0.0,11.3,90.49573584427112,21.862705
2025-05-08,6009.0,38.191068,-120.554107,26.4,12.5,0.0,12.7,90.49573584427112,5.368063
2025-05-08,6011.0,39.177739,-122.237563,30.3,13.4,0.0,16.9,210.0,-9.261177
2025-05-08,6013.0,37.919479,-121.951543,27.7,8.6,0.0,14.9,90.49573584427112,2.9211903
2025-05-08,6015.0,41.749903,-123.980998,18.8,7.5,0.0,11.8,90.49573584427112,1.5562258
2025-05-08,6017.0,38.785612,-120.534225,22.9,9.4,0.0,13.6,66.0,-4.5226502
2025-05-08,6019.0,36.761006,-119.655019,32.1,19.2,0.0,11.5,90.49573584427112,8.276883
2025-05-08,6021.0,39.602546,-122.4017,28.8,12.8,0.0,9.9,90.49573584427112,-13.754065
2025-05-08,6023.0,40.706655,-123.926176,18.0,5.4,0.1,13.1,90.49573584427112,-0.9859262
2025-05-08,6025.0,33.040814,-115.3554,34.8,20.3,0.0,10.7,90.49573584427112,22.791088
2025-05-08,6027.0,36.56216,-117.404209,24.4,14.1,0.0,15.9,87.5,5.7782087
2025-05-08,6029.0,35.346629,-118.729506,30.2,15.9,0.0,13.0,90.49573584427112,32.26176
2025-05-08,6031.0,36.072478,-119.81553,33.8,16.0,0.0,14.4,95.0,46.002754
2025-05-08,6033.0,39.108009,-122.745217,25.4,10.8,0.0,12.5,90.49573584427112,8.642932
2025-05-08,6035.0,40.715287,-120.621223,19.8,2.7,0.0,18.5,90.49573584427112,4.560488
2025-05-08,6037.0,34.196398,-118.261862,27.7,15.7,0.0,13.4,90.49573584427112,29.927704
2025-05-08,6039.0,37.209821,-119.749802,28.3,15.7,0.0,12.1,90.49573584427112,38.204075
2025-05-08,6041.0,38.051367,-122.746396,23.8,8.9,0.0,15.6,90.49573584427112,1.9834079
2025-05-08,6043.0,37.574343,-119.911721,26.0,12.9,0.0,12.3,90.49573584427112,8.431065
2025-05-08,6045.0,39.432388,-123.442881,22.6,6.3,0.0,15.1,90.49573584427112,-4.999986
2025-05-08,6047.0,37.194806,-120.722802,33.7,13.3,0.0,14.5,106.0,64.859024
2025-05-08,6049.0,41.592918,-120.71837,21.5,6.0,0.0,24.2,90.49573584427112,-0.08029136
2025-05-08,6051.0,37.915836,-118.875167,18.1,4.9,0.0,19.4,90.49573584427112,-0.9086332
2025-05-08,6053.0,36.240104,-121.315578,29.4,12.2,0.0,18.3,89.0,46.76007
2025-05-08,6055.0,38.5071,-122.325904,27.5,9.4,0.0,14.2,90.49573584427112,15.478474
2025-05-08,6057.0,39.297508,-120.771343,22.5,8.6,0.0,15.0,90.49573584427112,-0.63816077
2025-05-08,6059.0,33.675687,-117.777207,25.4,15.9,0.0,15.7,92.33333333333331,20.090492
2025-05-08,6061.0,39.062032,-120.722718,24.9,10.6,0.0,12.8,66.66666666666667,17.449537
2025-05-08,6063.0,39.992295,-120.824371,20.5,3.0,0.0,17.3,148.0,2.4221365
2025-05-08,6065.0,33.729828,-116.002239,28.4,17.7,0.0,9.7,90.49573584427112,16.891792
2025-05-08,6067.0,38.450136,-121.344329,30.8,10.6,0.0,10.8,90.49573584427112,92.343285
2025-05-08,6069.0,36.611651,-121.085811,28.9,12.1,0.0,8.7,90.49573584427112,1.8637258
2025-05-08,6071.0,34.856661,-116.181571,32.2,20.8,0.0,17.4,90.49573584427112,49.782593
2025-05-08,6073.0,33.023604,-116.776117,26.9,14.3,0.0,15.5,110.0,-9.868365
2025-05-08,6075.0,37.727239,-123.032229,10.9,10.1,0.0,39.0,90.49573584427112,-1.3539649
2025-05-08,6077.0,37.934982,-121.272244,32.7,14.6,0.0,17.2,90.49573584427112,54.50431
2025-05-08,6079.0,35.388189,-120.448897,28.7,11.4,0.0,11.2,90.49573584427112,-2.9297047
2025-05-08,6081.0,37.414672,-122.371546,21.3,8.3,0.0,11.3,87.5,1.130303
2025-05-08,6083.0,34.536677,-120.038364,26.2,12.6,0.0,17.0,83.75,15.52918
2025-05-08,6085.0,37.221614,-121.68954,28.0,9.0,0.0,13.2,65.5,28.123898
2025-05-08,6087.0,37.012347,-122.007789,18.8,10.7,0.0,12.2,90.49573584427112,-2.1681
2025-05-08,6089.0,40.760514,-122.043556,26.9,12.7,0.0,12.0,90.49573584427112,-29.466421
2025-05-08,6091.0,39.576925,-120.521993,17.8,2.3,0.0,14.7,90.49573584427112,0.39514974
2025-05-08,6093.0,41.587986,-122.533287,26.2,7.2,0.0,17.2,90.49573584427112,-20.572878
2025-05-08,6095.0,38.267226,-121.939594,29.3,9.5,0.0,17.8,90.49573584427112,34.396942
2025-05-08,6097.0,38.525182,-122.92611,28.1,8.6,0.0,9.4,90.49573584427112,1.6089602
2025-05-08,6099.0,37.562316,-121.002831,33.5,12.1,0.0,21.3,90.49573584427112,80.37712
2025-05-08,6101.0,39.03619,-121.70394,30.5,11.6,0.0,11.2,65.5,-13.282222
2025-05-08,6103.0,40.126157,-122.232274,30.2,12.2,0.0,11.1,90.49573584427112,47.580093
2025-05-08,6105.0,40.647858,-123.114666,22.1,2.0,0.0,12.9,90.49573584427112,-7.1996803
2025-05-08,6107.0,36.228834,-118.781055,26.1,14.8,0.0,12.4,90.49573584427112,30.771574
2025-05-08,6109.0,38.021434,-119.964733,19.9,7.5,0.0,16.6,90.49573584427112,-0.48912498
2025-05-08,6111.0,34.358748,-119.133145,26.4,13.5,0.0,10.9,90.49573584427112,4.1890116
2025-05-08,6113.0,38.679609,-121.90275,30.3,12.3,0.0,12.4,90.49573584427112,34.056965
2025-05-08,6115.0,39.27013,-121.344259,27.7,12.9,0.0,10.5,90.49573584427112,3.4104788
2025-05-09,6001.0,37.647139,-121.912488,30.0,12.0,0.0,14.6,52.0,-22.144833
2025-05-09,6003.0,38.621783,-119.798352,21.9,6.5,0.1,13.2,90.49573584427112,-6.152565
2025-05-09,6005.0,38.443549,-120.653858,28.1,14.5,0.0,13.0,88.0,33.2318
